iter	Passed	Remaining
0	85	85486
1	183	91804
2	272	90513
3	366	91188
4	500	99576
5	606	100495
6	691	98155
7	780	96799
8	863	95031
9	945	93583
10	1030	92684
11	1115	91826
12	1196	90851
13	1280	90150
14	1365	89650
15	1447	88997
16	1532	88605
17	1638	89385
18	1727	89185
19	1822	89325
20	1914	89246
21	2007	89262
22	2104	89399
23	2185	88880
24	2270	88554
25	2358	88351
26	2458	88579
27	2541	88220
28	2627	87978
29	2711	87670
30	2793	87310
31	2881	87176
32	2982	87391
33	3067	87149
34	3152	86910
35	3249	87007
36	3335	86815
37	3427	86781
38	3526	86903
39	3608	86606
40	3694	86422
41	3781	86253
42	3865	86025
43	3952	85871
44	4035	85640
45	4117	85399
46	4217	85520
47	4302	85323
48	4384	85102
49	4469	84922
50	4553	84726
51	4647	84728
52	4747	84834
53	4841	84820
54	4949	85049
55	5044	85028
56	5126	84804
57	5212	84654
58	5296	84479
59	5379	84283
60	5474	84268
61	5600	84730
62	5688	84604
63	5775	84472
64	5858	84269
65	5944	84125
66	6042	84148
67	6127	83979
68	6217	83889
69	6304	83753
70	6401	83757
71	6501	83802
72	6592	83718
73	6682	83625
74	6776	83574
75	6868	83505
76	6965	83492
77	7066	83525
78	7153	83395
79	7241	83281
80	7332	83195
81	7417	83038
82	7501	82881
83	7586	82731
84	7666	82528
85	7749	82362
86	7833	82211
87	7917	82052
88	7998	81875
89	8084	81742
90	8168	81593
91	8250	81432
92	8339	81335
93	8421	81168
94	8502	80999
95	8587	80863
96	8702	81014
97	8796	80964
98	8883	80849
99	8966	80697
100	9060	80645
101	9148	80539
102	9253	80588
103	9349	80545
104	9433	80412
105	9514	80244
106	9599	80112
107	9702	80132
108	9796	80075
109	9893	80044
110	9992	80029
111	10090	80000
112	10185	79952
113	10283	79924
114	10377	79865
115	10471	79799
116	10560	79698
117	10662	79694
118	10758	79647
119	10868	79704
120	10960	79624
121	11066	79643
122	11152	79518
123	11241	79413
124	11328	79297
125	11410	79150
126	11509	79118
127	11612	79108
128	11704	79027
129	11806	79013
130	11920	79078
131	12005	78942
132	12093	78834
133	12176	78694
134	12262	78570
135	12338	78388
136	12448	78414
137	12544	78360
138	12635	78270
139	12738	78248
140	12832	78176
141	12924	78093
142	13004	77939
143	13091	77821
144	13191	77783
145	13274	77647
146	13363	77542
147	13448	77420
148	13532	77287
149	13623	77198
150	13713	77103
151	13798	76979
152	13904	76976
153	13995	76882
154	14086	76792
155	14176	76700
156	14272	76637
157	14362	76541
158	14454	76454
159	14546	76369
160	14639	76288
161	14731	76201
162	14817	76087
163	14920	76059
164	15014	75984
165	15113	75932
166	15213	75887
167	15328	75910
168	15424	75844
169	15521	75779
170	15619	75722
171	15723	75691
172	15835	75698
173	15986	75888
174	16089	75852
175	16184	75770
176	16270	75655
177	16365	75573
178	16452	75460
179	16556	75422
180	16648	75333
181	16754	75302
182	16860	75272
183	16952	75182
184	17038	75060
185	17127	74957
186	17216	74850
187	17316	74791
188	17403	74679
189	17492	74575
190	17579	74459
191	17666	74344
192	17750	74222
193	17834	74095
194	17932	74028
195	18018	73911
196	18104	73797
197	18198	73715
198	18297	73650
199	18391	73565
200	18482	73471
201	18592	73449
202	18691	73384
203	18821	73442
204	18914	73352
205	19007	73262
206	19108	73201
207	19197	73096
208	19293	73020
209	19381	72910
210	19470	72808
211	19576	72766
212	19670	72677
213	19773	72625
214	19863	72524
215	19962	72457
216	20056	72370
217	20156	72304
218	20265	72271
219	20356	72173
220	20446	72070
221	20534	71964
222	20628	71875
223	20721	71783
224	20812	71687
225	20906	71599
226	21013	71558
227	21113	71487
228	21199	71374
229	21289	71272
230	21377	71166
231	21464	71054
232	21551	70944
233	21637	70829
234	21737	70761
235	21848	70729
236	21958	70692
237	22056	70618
238	22147	70518
239	22269	70518
240	22375	70468
241	22461	70353
242	22548	70243
243	22637	70137
244	22738	70072
245	22843	70016
246	22943	69946
247	23026	69822
248	23112	69709
249	23202	69608
250	23287	69491
251	23374	69381
252	23458	69261
253	23541	69140
254	23624	69019
255	23713	68917
256	23797	68798
257	23888	68701
258	23976	68595
259	24061	68483
260	24164	68419
261	24255	68323
262	24341	68210
263	24426	68098
264	24513	67991
265	24619	67934
266	24707	67829
267	24778	67679
268	24853	67537
269	24932	67410
270	25016	67294
271	25096	67169
272	25181	67059
273	25268	66952
274	25363	66867
275	25445	66748
276	25523	66617
277	25621	66543
278	25714	66453
279	25800	66344
280	25876	66211
281	25954	66081
282	26029	65948
283	26102	65807
284	26177	65672
285	26252	65538
286	26332	65418
287	26419	65315
288	26539	65292
289	26614	65160
290	26690	65029
291	26762	64890
292	26836	64755
293	26913	64628
294	26989	64500
295	27068	64379
296	27158	64283
297	27241	64172
298	27320	64052
299	27396	63925
300	27496	63853
301	27576	63735
302	27665	63639
303	27742	63516
304	27814	63381
305	27890	63254
306	27963	63122
307	28036	62991
308	28113	62868
309	28188	62743
310	28273	62638
311	28348	62511
312	28424	62387
313	28495	62254
314	28578	62146
315	28654	62024
316	28725	61891
317	28797	61761
318	28870	61632
319	28943	61504
320	29013	61370
321	29088	61249
322	29159	61118
323	29246	61020
324	29319	60893
325	29390	60763
326	29461	60635
327	29537	60516
328	29607	60384
329	29679	60258
330	29754	60138
331	29828	60016
332	29902	59894
333	29988	59796
334	30082	59716
335	30175	59633
336	30251	59514
337	30332	59408
338	30412	59299
339	30499	59204
340	30581	59100
341	30657	58985
342	30732	58866
343	30803	58742
344	30889	58645
345	30964	58528
346	31035	58403
347	31107	58282
348	31183	58167
349	31267	58067
350	31341	57951
351	31415	57833
352	31486	57709
353	31561	57595
354	31656	57516
355	31735	57408
356	31810	57294
357	31896	57200
358	31979	57100
359	32059	56994
360	32133	56879
361	32205	56760
362	32278	56642
363	32358	56539
364	32431	56422
365	32502	56301
366	32573	56183
367	32660	56090
368	32733	55975
369	32809	55865
